问题,关键字,相似问,答案
KTool 地址、帮助文档、对接群,"KTool,ktool对接人",谷歌浏览器首页快手插件|ktool对接群|ktool问题如何反馈,"<font color=""orange"">**亲爱的同学好~**</font>
KTool 的平台地址 [点击这里](https://ktool.corp.kuaishou.com/)；
KTool 的相关问题可以参考此文档 [KTool 帮助中心](https://ktool.corp.kuaishou.com/helper)；
如有其他问题，可以扫码进群反馈咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671702889796863.png)"
个人利益冲突申报,"冲突申报,个人利益",利益矛盾|申报情侣关系在哪里|请问快手的员工可以在其他电商平台做博主带货吗|利益申报,"<font color=""orange"">**亲爱的同学好~**</font>
个人利益冲突申报请在 Kim 应用搜索「廉洁快手」在消息号底部点击「利益冲突申报」进行上报。
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671641534086203.png)
如有任何疑问，请联系<@=username(ljks)=>。"
发包选择""snapshot"" 不更新rootpom报找不到snapshot版本的包问题,,发包选择""snapshot"" 不更新rootpom报找不到snapshot版本的包问题,"**问题示例：**
Could not find artifact kuaishou:xxxxxxx:jar:1.0.11-SNAPSHOT in gifshow (http://nexus.corp.kuaishou.com:88/nexus/content/groups/public)
**问题原因：**
在project中的pom中版本都是写的固定的和parent中的版本一致都是不带snapshot的版本 在选择发snapshot版本的时候不能智能的替换
**解决方案：**
在parent中定于<revision>属性，在子module中都用这个通配符替换"
为什么使用券下单后一直显示审核中,,使用券下单后显示审核,"<font color=""orange"">**亲爱的同学好~**</font>
作者使用优惠券给作品购买超级加热，会经过粉条审核，如果作品存在负向会无法购买粉条；
下单后一般会在30min内审核，如果突发优惠券量暴涨，可能会出现24h-48h才能审出，请用户耐心即可。"
4K显示器画面撕裂,4k显示器问题,显示器画面卡顿|显示器画面延迟|显示器画面撕裂|4k显示器画面和鼠标移动轨迹不同步|新换了4k显示器后页面抖动|新换了4k显示器后页面拉动有问题|显示器调整窗口大小不跟手|显示器调整软件窗口不流畅|显示器调整软件窗口卡顿|新显示器调整软件窗口有延迟|更换显示器后软件画面撕裂,"<font color=""orange"">**亲爱的同学好~**</font>
如遇到显示器调整窗口时画面撕裂，画面和鼠标移动轨迹不同步，可参考以下文档进行操作：[[苹果电脑如何调整刷新率]](https://docs.corp.kuaishou.com/k/home/VRA_DlD7iv50/fcACsfG2aXpZS5yD0TNFoOM3k)"
云主机、云开发机问题找谁,"云主机,云开发机",物理机申请|连接开发机实例|中控机登录自动切换mpi权限|云主机问题如何反馈|云主机连接不上怎么办,"<font color=""orange"">**亲爱的同学好~**</font>
云主机、云开发机的官网主页请点击 [云主机平台](https://halo.corp.kuaishou.com/dev/#/servers/)；
帮助文档可以参考此文档 [云主机平台介绍](https://docs.corp.kuaishou.com/k/home/VFJEZSX6_GTk/fcADIyegUd8U9y93Sa2-Pv84S)；
有其他问题可以Kim搜索「云开发机小助手」消息号咨询，
或扫码进群进行反馈咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671703055452769.png)"
Kim 花屏了怎么办,花屏,Kim屏幕花了,"<font color=""orange"">**亲爱的同学好~**</font>
Kim 花屏的问题可以参考此文档 [花屏问题解决方案](https://docs.corp.kuaishou.com/k/home/VQEGPnilYmG8/fcABis_dZD2z_L0_STeO4fHaF) 进行操作，
如果无法解决您的问题，请回复「666」转人工帮您处理。"
快手问卷（问卷网）的网址,问卷网,快手问卷网址|问卷网网址,"<font color=""orange"">**亲爱的同学好~**</font>
快手问卷（问卷网）的地址请[点击这里](https://wenjuan.corp.kuaishou.com/edit/survey/)；
其他问题可以扫码进群咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671695288117754.png)"
作者管理类目垂类对接人,,作者与内容生态垂类 有哪些细分垂类|有没有垂类负责人的文档呀|你好 想了解下平台市场部 有没有文旅方向活动规划，这个咨询哪位老师呀|绿植，插花，花卉的账号属于哪个运营垂类|垂类|最新发展的房产经济业务有对接人么,"<font color=""orange"">**亲爱的同学好~**</font>
垂类的对接人可以参考此文档 [作者管理类目信息维护表](https://docs.corp.kuaishou.com/t/home/VWLnkaZa4mGo/fcAD_25CZGwWYkWhO7zpB9azT?section=326447311)。"
如何使用代码块,代码块,咨询一下代码块怎么打开,"<font color=""orange"">**亲爱的同学好~**</font>
请参考[如何使用代码块文档](https://docs.corp.kuaishou.com/k/home/VaUa13QyewBE/fcABnwTfaNiEXUGs6d_-az3WV#section=h.mas7mrya7yrk)。"
如何进入 KitChat,kitchat,最新版本kit 怎么能找到kitchat|kitchat从哪里进|怎么进入kitchat,"<font color=""orange"">**亲爱的同学好~**</font>
打开 Kit - 工具 - KitChat：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671703572420867.png)"
需要调节空调温度,"空调,太冷,太热,暖气",10楼很热|工位上面的 冷风好大，能不能关小一点呀|你好 想调一下空调|总部c5太热了|您好， 元中心 T13-13F-103 工位，头顶吹冷风，辛苦找 人帮忙看一下|工区好热|万家灯火b6-034冷的不行|有点闷，有开空调吗|海思科有点闷，有开换风吗|公司提供暖气了吗|公司开暖气了吗|如何申请暖风机|什么时候开暖风|温度太冷了|取暖器有吗|职场温度太低|职场很冷|工位温度太低，有点冷|公司空调没开可以找谁处理下呀|风吹着有点冷，麻烦调一下|空调温度控制|总部B3-116工位太冷了,"<font color=""orange"">**亲爱的同学好~**</font>
室温调节需求请点击[这里](https://xz.corp.kuaishou.com/h5-public/repair/web/repair/maintain?typeList=%E5%B7%A5%E7%A8%8B%E7%B1%BB-%E6%9A%96%E9%80%9A%EF%BC%88%E7%A9%BA%E8%B0%83%E6%9A%96%E6%B0%94%E7%AD%89%EF%BC%89)提交工单，会有工程师傅联系您 ?
\
如提交工单后仍有问题，可联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-623815-3dD4Js8MQYD6iK5j1RgcgZXtlzg-kssso)获取帮助~"
如何举报色情、暴力等犯罪内容,"举报色情,举报暴力,举报犯罪",怎么举报暴力|我要举报色情,"<font color=""orange"">**亲爱的同学好~**</font>
可以查看该文档进行反馈：[色情、暴力等涉嫌犯罪内容反馈方法](https://docs.corp.kuaishou.com/k/home/Vf0Zqvo26Y50/fcAD_6M7oFP3SMoRRZblfX5p-)。"
Kim Mario 帮助手册,Mario,可以帮助整理一段文字吗？|kim有没有gpt协助办公的软件|mario这个文档有吗,"<font color=""orange"">**亲爱的同学好~**</font>
Mario助手，是一款利用LLM能力，通过对话式交互，集成快手内部多平台应用的AI办公助手，旨在为用户提升工作效率，解决高复杂性操作任务。以及为企业提供加速信息流转、链接业务应用能力。
了解更多请查看[Mario 说明文档](https://docs.corp.kuaishou.com/d/home/fcADl3uUx-ccJU75eleFH_cah)"
如何设置私密直播,私密直播,设置私密直播,"<font color=""orange"">**亲爱的同学好~**</font>
可以通过直播预览页-更多-私密设置进行设置。"
出差怎么订机票,"机票,差旅,出差,携程商旅",订机票|怎么在kim上面订机票呀,"<font color=""orange"">**亲爱的同学好~**</font>
同学可以在Kim--应用--[快手差旅](https://smart-travel.corp.kuaishou.com/travel-pc/)里定机票哦～

**Kimi温馨提示**：
差旅申请单审批完成后
1. 你在你的单据里可以找到携程商旅的入口，通过入口进入就默认使用的公司账户订票了（入职第二天携程的公司账户才会开通的）；
2. 使用手机端Kim工作台-快手差旅也可以订票与酒店。"
「企业用车感恩季」活动细则,"企业用车活动,企业用车感恩季",企业滴滴的活动什么时候开始|企业用车的活动是什么时候|企业用车的活动几点开始,"<font color=""orange"">**亲爱的同学好~**</font>
关于「企业用车感恩季」的活动细则可以参考此文档 [谢谢你，企业用车感恩季](https://kim-message.corp.kuaishou.com/message/83349)，
想了解更多企业用车的活动详情，可以扫码进群咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671700537792964.png)"
尝试数据恢复申请流程,数据恢复,数据|恢复电脑数据|电脑数据恢复|如何恢复电脑数据|怎么恢复电脑数据|数据没了需要恢复|数据恢复|想恢复数据|尝试数据恢复,"尝试数据恢复申请流程：
1、减免流程（[资产维修费用减免申请](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_zcwxmpsq)）-选择【数据恢复】-选择数据级别，填写相关必填项后提交申请
![Kim 2024-05-08 112850.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/4b696d20323032342d30352d3038203131323835302e706e671715138953928.png)
* 数据级别：**C2&C3审批节点**：提交-资产-上级审批-部门审批（L3）-结束自动知会L4级负责人&安全同学蔡光宗
* 数据级别：**C4审批节点**：提交-资产-上级审批-部门审批（L3）-L4级负责人审批-结束自动知会安全同学蔡光宗

2、同时需要申请人提交数据外传流程，提交后请申请人知会流程，流程链接：[点击这里跳转到相应流程](https://bpm.corp.kuaishou.com/ks-bpm/#/iframeCreate/sensitiveDataAndDataTransmissionProcess?entry=newPortal)；

**注意事项**：以上两个流程完成审批完成后，管理员再同步将硬盘寄给供应商尝试恢复数据并同步"
MMU内容画像的网址、帮助文档,,mmu相似推荐服务|mmu|你好，我需要用mmu语音转写功能，现在卡住了|MMU内容画像网址|MMU使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
MMU是多媒体理解（Multi-Media Understanding），公司专门负责计算机视觉，音频相关算法的部门，负责给音视频标注上文字信息，用于推荐相关视频，发现非法信息等；
MMU内容画像的地址是[MMU内容画像](https://cp.corp.kuaishou.com/photo?photoId=77773652323&type=1)；
MMU的帮助文档可以参考[MMU文档中心](https://mmu.corp.kuaishou.com/help/index)；
MMU的其他问题可以扫码进群咨询：
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671695281693625.png)"
KsBoot 问题反馈群,"KsBoot,ksboot",ksboot对接人是谁|ksboot问题如何反馈,"<font color=""orange"">**亲爱的同学好~**</font>
KsBoot 的相关问题可以扫码进群反馈咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671702891747886.png)"
本地生活的oncall群,"本地生活小秘书,本地生活",商家商品未达到上架时间 前端展示了|本地生活小秘书|本地生活oncall群|本地生活的问题反馈群,"<font color=""orange"">**亲爱的同学好~**</font>
本地生活的相关问题可以扫码进群咨询反馈：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671702890619451.png)"
如何创建在线白板,白板,白板咋弄的,"<font color=""orange"">**亲爱的同学好~**</font>
创建在线白板，请进入 [Docs 主页](https://docs.corp.kuaishou.com/home) 点击右上角创建 - 在线白板：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671707210171641.png)"
如何申请推文权限,"推文权限,推文,申请推文",如果想推送消息的话 这个找谁|KIM消息推送权限申请|怎么申请推文权限|想申请推文权限|能否申请推文权限|快门推文,"<font color=""orange"">**亲爱的同学好~**</font>
可以提交下面「申请消息号推文权限」的流程，流程结束同学会帮您开通推送权限：
请选择 [PC 端](https://bpm.corp.kuaishou.com/agile-designer/pc/submit/DBD5hy595e) 或者 [移动端](https://bpm.corp.kuaishou.com/m/submit/DBD5hy595e)，填写成功后提交即可。"
资产可以借用多少天,借用周期,测试机续期|借用电脑如何续借呢|可以借用变领用吗|借用的电脑如何修改借用时间呢|显示器借用延期|还没有提醒我领取的推送|想要延长租借的手机在哪申请呀|这玩意长期借用|借用设备归还时间|如何延长插板的借用时间|怎么将借用的设备转为领用|你好，借用的资产到期了，如何申请延期|我的设备申请时点成借用了，怎么变成领用啊|怎么续申请借用的手机|借用资产如何调整为领用|为什么借用的显示器突然提示要归还|借用转领取|借用的手机为啥这么快就提示归还啊|您好，请问申请测试手机怎么延长使用时间呢|续借|借用的办公用品快到期了，如何将借用的办公用品转为领用|如何将借用的资产转为使用|手机续租|借的资源怎么续时长|hi 你好 我借用的电脑需要续期|我借用的电脑需要续期|借用延期|延长手机借用时间|显示器借期可以延长吗|手机能借用多少天|测试机,"<font color=""orange"">**亲爱的同学好~**</font>
目前所有资产可借用 7 天，7 天后办公资产平台会发送通知提示归还；
如果您还有使用需求可以忽略提示，系统会自动续借 7 天；
系统会在第 13 天时推送通知，可以点击通知中的链接发起借用转领用流程；
如果不发起借用转领用流程，系统会再次自动续借 7 天，最长您可借用 28 天，到期需要归还或者点击链接发起借用转领用流程。"
快流程提交申请后怎么查看申请进度,,领用进度查看|我刚才申请流程了 但是从哪能看到流程进展啊,"<font color=""orange"">**亲爱的同学好~**</font>
快流程首页点击 [我的申请](https://bpm.corp.kuaishou.com/new-bpm/v2/processes/applied?processStartTime=2023-07-03&processEndTime=2024-07-03&dateRange=year) 即可查看相关进度。"
ProxyChain的帮助文档、对接人,,ProxyChain使用手册|ProxyChain服务侧对接人,"<font color=""orange"">**亲爱的同学好~**</font>
ProxyChain的帮助文档可以参考[ProxyChain](https://docs.corp.kuaishou.com/d/home/fcADr14yhPL4phVEEck-INnmw#section=h.gzqpzl1xzo6c)；
ProxyChain服务侧的对接人是<@=username(liujiangming)=>。"
快手小店入驻等问题,快手小店,“虚拟金开户支持个人小店”相关资料从哪里可以获得？|你好 我想咨询下 有商家咨询大米售卖开店事宜 应该联系哪个部门？|能帮我找一下负责玩具行业的电商小二吗,"<font color=""orange"">**亲爱的同学好~**</font>
快手小店入驻等相关问题可以参考此文档 [快手电商学习基地](https://university.kwaixiaodian.com/kwaishop/knowledge/1438)；
如有其他疑问，可以扫码进群反馈咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671713948289564.png)"
如何把社招内推岗位分享给朋友,"内推岗位,岗位分享,内推分享",如何分享内推岗位|如何把内推岗位分享出去|社招内推如何把岗位分享给朋友,"<font color=""orange"">**亲爱的同学好~**</font>
社招内推可单独分享职位，**点击职位详情后，页面有「复制链接」功能，可复制后发给候选人即可**。"
如何申请群扩容,"群人数,人数上限,群扩容,扩容",kim 人数达到500限制|改了群名，需要重新扩容吗|申请扩群的流程|群人数怎样申请扩容|我想扩群|怎么取消群聊500人限制|群聊上限500人怎么解开|群的人数上限是多少|请问群人数上限怎么更改|请问群人数上限怎么改|怎样增加群人数|请问我的群人数上限怎么修改|想增加群人数|请问群人数上限怎么修改|kim群扩容怎么操作|怎么把一个超过500人的日历会邀，直接转会议群呢？|请问kim拉1000人的群怎么操作？|有个群人员满了 如何添加呢|请问群人数达到上限怎么扩容|请问群人数上限怎么改啊|群人数想申请扩容|请问群人数上限想修改|群人数怎么增加|如何增加群人数|群人数上限|群人数如何申请扩容|群满了|群人数扩容,"<font color=""orange"">**亲爱的同学好~**</font>
请您填写以下卡片申请群扩容，卡片提交后，将自动触发一个流程，您可以通过卡片状态实时查看申请状态：-ANSWER@_@SPLIT--INTEND@_@-/kim_1_00001"
如何使用VPN,"vpn,kit,连接vpn,vpn连不上,vpn连接不稳定",家里外网无法访问|在家怎么登录公司的后台|手机怎么翻墙|出海模式|您好kimi，我想请问下我在澳门是用kim需要挂梯子吗|不在公司 可以办公吗|在线办公怎么打开内容中台|为啥我的手机连不上vpn|我在家怎么连接不上VPN|VPN怎么连接啊|VPN连结不上|VPN连接|VPN连接失败|vpn总是显示连接失败|vpn如何连接|无法连接VPN，是什么原因呢|无法连接VPN|vpn无法连接|无法连接VPN，是啥原因呢|没法连接VPN，是什么原因呢|vpn连不上|pc mac vpn连不上|在家链接kit没反应|vpn 频繁断开|居家办公连不上VPN|我的k-vpn连不上了|苹果手机连不上vpn|ios设备的kit无法连接|电脑vpn连不上|kit连接断断续续|kit连接内网总是断开|vpn总是连上不到20秒就自动退出|您好， 我的vpn连不上|vpn不稳定|VPN总断|vpn总是一会儿断开一会儿又好了|vpn经常掉线|手机端vpn不稳定|电脑端vpn不稳定|VPN经常掉线|vpn速度慢|VPN|vpn|连接VPN报,"<font color=""orange"">**亲爱的同学好~**</font>
Kit 是一款公司IT部门自研的 VPN 客户端推荐同学优先使用，Cisco 是由第三方厂商提供的客户端可作为备选，各 VPN 客户端安装使用说明如下：
####  Kit VPN：
* [Kit 使用手册](https://docs.corp.kuaishou.com/k/home/VHFD8c_bx8WQ/fcABptskrekpJ1LKE_SmO0x-7)，Kit 也支持手机端安装。
#### 思科 Cisco VPN：
* PC：[Cisco-VPN 电脑版如何使用? (Mac & Windows)
](https://docs.corp.kuaishou.com/k/home/VJmc57E1-Oa8/fcAALIQlMh3x6JVXshZXZSxLj)
* IOS：[Cisco-VPN 如何下载、安装、使用? (iPhone版)](https://docs.corp.kuaishou.com/k/home/VAGQ5aFKOusA/fcACZm_9c0NS5wf-QN8H13Aqn)
* Android： [Cisco-VPN 如何下载、安装、使用? (Android版)](https://docs.corp.kuaishou.com/k/home/VGXeYKM6GKeg/fcAA-E-pfF5LjfPS5UyAHUVuQ)

#### 注意：
1、如果在连接 VPN 过程中遇到连接失败、经常掉线、速度慢的情况，请优先尝试更新至最新的 Kit 最新版本。
2、如果是用户体验部、用户服务中心的同学，需要提前申请 VPN 权限后再使用，请点击 [此流程](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_kitzhxglc11) 进行申请。"
任务如何导入/导出到Team,"导入任务,导出任务",Team数据可以导出吗|任务如何导出到Team|任务如何导入到Team,"<font color=""orange"">**亲爱的同学好~**</font>
1. **导出任务**：打开项目菜单，点击【导出任务】，支持导出自定义字段或导出当前筛选结果等：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671657782352651.png)
2. **导入任务**：打开项目菜单，点击【导入任务】，目前Team支持Excel导入任务的功能：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671657782390786.png)
更多关于导出/导出详细操作可查看帮助文档：[查找/批量导出/导入任务](https://docs.corp.kuaishou.com/k/home/VO7QdvWAuIcs/fcAATBD5Ql_ZymSTMbWTyqKzo#section=h.eojdtx2y0akt)。"
磁力引擎开放平台的网址、帮助文档,,磁力引擎开放平台网址|磁力引擎开放平台使用手册|Marketing API使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
磁力引擎开放平台的地址请[点击这里](https://developers.e.kuaishou.com/welcome)；
磁力引擎开放平台的帮助文档可以参考[磁力引擎开放平台快速入门](https://developers.e.kuaishou.com/docs?docType=DSP&documentId=1944)；
Marketing API的帮助文档可以参考[Marketing API Q&A](https://docs.corp.kuaishou.com/d/home/fcAAxRibn7My8YQ8u7iUNP_Wr)；
其他问题可以扫码进群咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671695283185248.png)"
问答社区的链接,"问答,问答社区,ask",问答|问答社区,"<font color=""orange"">**亲爱的同学好~**</font>
问答社区链接[点这里](https://ask.corp.kuaishou.com/)。"
调动表格导入时报错怎么办,,调动表格导入时报错，如何处理,"<font color=""orange"">**亲爱的同学好~**</font>

下载报错表格查看具体报错原因，修改后再重新上传哦
"
家居数码行业对接人是谁,"家居,数码",家百行业对接人,"<font color=""orange"">**亲爱的同学好~**</font>
家居数码行业对接人<@=username(huwenjie)=>。"
会议室预定权限解禁,"不良记录,小黑屋,未签到,会议室解禁",会议室预定惩罚|请问一下会议室被禁止预定了可以加白吗|您好，请问我会议室忘记签到了，已经到达了两次，可以 帮我回复会议室预定资格吗？|会议室解锁|会议室系统被禁用|因为没有签到会议室被禁用一周这个可以申请解封吗|会议室可以解封吗|会议室预定被封了|可以帮我解除会议室黑名单吗|会议室预定解封|无法预定会议室了能申诉么|解禁会议室|会议室不良记录导致无法预约会议室怎么解除|我的会议室预定被限制了，确实忘了两次，能解么|会议室忘签到，但是在会议室，可以消除下惩罚吗|会议室签到不良记录可以消除吗|会议室解封,"<font color=""orange"">**亲爱的同学好~**</font>
目前没有办法手动解封哦，辛苦同学理解～
会议室预定规则如下：
1. 会议开始后 10 分钟内如未签到，该会议室将自动释放，生成 1 次不良记录；
2. 重复预订的周期会议室如累计 2 次未签到，该周期会议室将自动释放；
3.  一个自然周内累计 2 次不签到，则在第 2 次不签到后封禁至下一个自然周结束；
**举例**：
如在本周一累计 2 次不签到，则在下下周的周一零点解封；
如在本周五累计 2 次不签到，也在下下周的周一零点解封。"
公司快递地址,"快递,邮寄",菜鸟驿站|公司的快递地址|寄快递地址,"<font color=""orange"">**亲爱的同学好~**</font>
京区职场的快递地址：
元中心：北京市海淀区西二旗中路29号元中心；
万家灯火：北京市海淀区唐家岭路188号万家灯火大厦；
中黎科技园：北京市海淀区上地信息产业基地上地三街中黎科技园1号楼；
数码科技：北京市海淀区上地九街9号数码科技广场。
\
京外职场的地址请联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-130164-8EmbYj-FiXUhDGDK70wbh5WX39k-ksssogray)获取。"
Docs 文档有编辑权限但无法编辑,无法编辑,文档突然不能敲字了|doc没有编辑权限,"<font color=""orange"">**亲爱的同学好~**</font>
Docs 文档有编辑权限，但无法编辑，可以通过以下方式查看谷歌浏览器安装了哪些插件：复制「chrome://extensions」粘贴到浏览器的地址栏中，按 Enter 键，将开启的插件关闭后再尝试，如还是无法恢复，可恢复“666”转人工咨询。"
办公电脑能带回家吗,,请问您可以将电脑带回家使用吗？|能否将电脑带回家使用？|办公电脑能够带回家吗|电脑能带回家吗,"<font color=""orange"">**亲爱的同学好~**</font>
笔记本电脑是可以带回家的，但是在携带过程中需要多加注意，避免损坏和丢失，造成不必要的损失，并且记得使用完要带回来哦~"
Kaleido IDE 的地址、使用文档、对接群,Kaleido,灵犀平台权限申请|kaleido|kaleido的oncall是谁|kaleido对接群|Kaleido问题如何反馈,"<font color=""orange"">**亲爱的同学好~**</font>
Kaleido 的地址 [点击这里](https://kaleido-ide.corp.kuaishou.com/)；
Kaleido 的使用手册可以参考此文档 [Kaleido 使用手册](https://docs.corp.kuaishou.com/k/home/VTCyEatTDSXg/fcACcvCaLtsvRn5Ptc7aFCgji)；
如有其他问题，可以扫码进群咨询反馈：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671702634064626.png)"
资产入库、退库应该找谁,"入库,贴签",资产报废流程|相关方主体入库|请问试验机能退库吗？|宿舍区床报废，需要报备或者系统内部提交报废流程|买的电视机要找谁入库啊|手机入库要找谁啊,"<font color=""orange"">**亲爱的同学好~**</font>
**国内主体的：**
办公资产（手机、电脑、键盘等）入库联系 <@=username(zhouxiaomin03)=>；
公共资产（比如部门申请的电视机、桌椅等）验收、入库、维修、报废等联系 <@=username(wb_lichen03)=>；
IT资产（机房的设备、防火墙、服务器、交换机、路由器等）联系 <@=username(zhushaohui)=>；
\
**海外主体的：**
办公资产（手机、电脑、键盘等）入库联系 <@=username(wb_shenmei)=>；
公共资产（比如部门申请的电视机、桌椅等）验收、入库、维修、报废等联系 <@=username(wb_lichen03)=>；
IT资产（机房的设备、防火墙、服务器、交换机、路由器等）联系 <@=username(zhushaohui)=>。"
Docs文档转PDF格式,"转pdf,导出pdf,下载pdf",如何导出PDF|PDF如何下载|docs文档可以转pdf格式吗|PDF格式下载|docs文档转换格式,"<font color=""orange"">**亲爱的同学好~**</font>
如果同学对该文档有下载权限的话是可以的呢。
转换PDF文档步骤：点击文档上方的分享→下载→PDF。
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671684738385406.png)"
Kim聊天记录是否可以截长图,截长图,Kim截长图|聊天记录截长图,"<font color=""orange"">**亲爱的同学好~**</font>
非常抱歉，目前Kim还不支持截长图。"
离职流程中线上签署辞职申请书，提示「无权限访问」该怎么办,,离职流程中线上签署辞职申请书，提示「无权限访问」|在移动端电签辞职申请书，人脸识别页面提示「您无权限访问该页面」,"<font color=""orange"">**亲爱的同学好~**</font>

辞职申请书电签时出现「无权限访问页面」是因浏览器授权导致，**请您更换浏览器或进入电签平台进行签署**：[点击此处跳转电签平台](https://e-signature.kuaishou.com/esignature)
"
每个人名下可以有几台设备,,一个员工几个设备|我可以同时申请两个显示器吗？目前在元中心和万家灯火同时办公|每个人名下可以有两台电脑吗,"<font color=""orange"">**亲爱的同学好~**</font>
正常情况下，每个人名下只能有一台同类的设备，多余的设备需要及时归还到 [IT 服务台](https://docs.corp.kuaishou.com/s/home/fcABC2q8nwsNMZm-DpRM4ESvu)。"
WIN系统WiFi自动断开如何解决,"wifi断开,自动断开,休眠wifi断开",电脑总自己断开WiFi|我的wifi总自动断|我的wifi总自己断开|WiFi不稳定总是自己断开|WiFi总自动断开|每次锁屏WiFi就会断开|我的电脑WiFi总是自己断开|休眠wifi就断开|休眠就断开|自动断开wifi|wifi自动断开,"<font color=""orange"">**亲爱的同学好~**</font>

可以参考以下文档进行操作:[Windows系统Wi-Fi自动断开如何解决](https://docs.corp.kuaishou.com/k/home/VDnW9_kjN4W4/fcACCapr2AeczGHwhKblFI1Ah)"
公共邮箱密码如何申请永不过期,"公共邮箱密码永不过期,密码不过期",公共邮箱密码永不过期,"<font color=""orange"">**亲爱的同学好~**</font>
邮件说明账号永不过期的理由和过期影响，联系it - <@=username(qichuanjia)=> <@=username(zhiyue)=>做申请。
"
群话题如何使用,群话题,请问群话题如何发起|群话题怎样关闭|群话题如何开启|群话题如何用|群话题|群话题如何关闭|设置群话题|如何添加群话题,"<font color=""orange"">**亲爱的同学好~**</font>
**入口**：Kim 群聊界面右上角三个点-群管理-群话题。
**Kimi 温馨提示**
若无法发布话题请联系群主或管理员核实是否设置了权限，
更多信息请参考[群话题使用指南](https://docs.corp.kuaishou.com/d/home/fcABGFEG88nGsoFreJjaDsJXR)。"
可图的网址、对接人,,快手自动生成图片的大模型|公司有没有生成ai的平台|想跟可图合作找谁啊|可图的对接人找谁|可图的问题去哪里反馈|可图的网址,"<font color=""orange"">**亲爱的同学好~**</font>
可图的网址可以点击此链接??[可图平台](https://kolors.corp.kuaishou.com/)。
相关问题可以扫码进群咨询：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671693384368628.png)
相关合作问题可以咨询 <@=username(lipeihan03)=>、<@=username(zoulingyu03)=>。"
发起MR的时候，如何操作目标分支为master,"目标分支为master,发起mr",发起MR的时候，目标分支不是master，这个如何操作|发起MR的时候，目标分支不是master，这个可以如何操作,"<font color=""orange"">**亲爱的同学好~**</font>
**问题原因**：KDev默认填充合并请求目标分支为「集成分支-发布分支」 。
**解决方案**：在仓库配置里面自定义下即可：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671637918623053.png)"
公共邮箱如何变更管理员,"公共邮箱,变更管理员",更换公邮负责人|查询公邮管理员|怎么查公共邮箱的管理员是谁|如何转让公共邮箱|公共邮箱要变更管理员,"<font color=""orange"">**亲爱的同学好~**</font>
查询公共邮箱的管理员可通过 [网页版邮箱](https://mail.corp.kuaishou.com/) 或 Outlook 邮箱客户端「通讯薄」进行查询，网页版邮箱查询方式如下：![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671701760633983.png)
\
需要变更公共邮箱的管理员请点击 [此流程](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_yxfjxzdz?fb_key=067c8e37fb624b099df325728aca4c15&type=4) 提交申请。"
